,genres comedy,genres outros,genres action,genres animation,genres drama,genres crime,genres romance,genres family,genres thriller,genres documentation
520,1,0,0,0,1,0,0,0,0,0
521,0,1,1,1,0,0,0,0,1,0
522,1,0,0,0,1,1,1,0,1,0
523,1,0,0,0,0,1,0,0,0,0
524,1,0,1,0,1,1,0,0,0,0
525,0,2,1,0,0,0,0,0,1,0
526,0,1,1,0,1,1,0,0,0,0
527,0,1,1,0,1,0,0,0,0,0
528,0,0,0,0,0,0,0,0,0,1
529,0,3,0,0,0,0,0,0,0,1
530,1,0,0,0,1,0,1,0,0,0
531,1,0,0,0,0,0,0,0,0,0
532,1,2,0,0,1,0,0,0,0,0
533,0,1,0,0,0,0,0,0,0,0
534,0,0,0,0,1,0,1,0,0,0
535,0,0,0,0,1,0,0,1,0,0
536,0,1,0,0,1,0,0,0,1,0
537,1,0,0,0,0,0,0,0,0,1
538,0,0,0,0,1,0,0,0,0,0
539,0,0,0,1,0,0,0,0,0,0
540,1,0,0,0,0,0,0,0,0,1
541,1,0,0,0,1,0,0,1,0,0
542,0,1,0,0,0,0,0,0,0,1
543,0,0,1,0,1,1,0,0,1,0
544,1,0,0,0,0,0,0,0,0,0
545,1,0,0,0,1,0,0,0,1,0
546,0,1,0,0,0,0,0,0,0,0
547,1,0,0,0,0,0,0,0,0,0
548,0,0,0,0,1,1,0,0,1,0
549,1,0,0,0,0,0,0,0,0,0
550,1,0,0,0,1,0,0,1,0,0
551,1,0,0,0,1,0,1,0,0,0
552,0,1,0,0,0,0,0,0,0,0
553,0,1,1,0,1,0,1,0,0,0
554,0,0,0,1,0,0,0,1,0,0
555,1,0,0,0,1,0,1,0,0,0
556,0,2,1,0,0,1,0,0,1,0
557,0,0,0,1,0,0,0,0,0,0
558,0,1,0,0,1,0,0,0,1,0
559,1,0,0,0,1,0,0,0,0,0
560,1,0,0,0,1,1,0,0,0,0
561,1,0,0,0,1,0,0,0,0,0
562,1,0,0,0,1,0,0,0,0,0
563,0,1,1,0,1,1,0,0,0,0
564,0,1,0,0,0,0,0,0,0,0
565,0,0,1,0,1,0,0,0,0,0
566,1,0,0,0,1,0,1,0,0,0
567,1,0,0,0,1,0,1,0,0,0
568,1,0,0,0,1,0,1,0,0,0
569,1,0,1,0,1,1,0,0,0,0
570,0,1,0,0,1,0,0,0,0,1
571,0,1,0,0,1,0,1,0,0,0
572,0,0,1,0,1,1,0,0,0,0
573,0,0,1,0,1,1,0,0,0,0
574,1,0,0,0,0,0,0,0,0,0
575,0,0,0,0,1,0,0,0,0,0
576,0,0,0,0,1,0,0,0,0,0
577,0,0,0,0,1,0,0,0,0,0
578,1,1,0,0,1,0,0,0,0,0
579,1,0,0,0,0,0,0,0,0,1
580,0,0,0,0,0,0,0,0,0,1
581,0,0,0,0,1,0,0,0,0,0
582,0,0,1,0,0,0,0,0,1,0
583,0,0,1,0,1,1,0,0,1,0
584,0,0,0,0,1,0,0,0,0,0
585,0,1,1,1,0,0,0,0,0,0
586,0,0,0,0,1,0,0,0,0,0
587,0,0,1,0,0,1,0,0,1,0
588,1,0,0,0,1,1,0,0,0,0
589,0,0,0,0,1,0,1,1,0,0
590,0,1,0,0,1,0,1,0,1,0
591,0,0,1,0,1,1,1,0,1,0
592,0,0,1,0,1,0,0,0,0,0
593,1,0,0,0,0,0,1,0,0,0
594,1,0,0,0,1,0,1,0,0,0
595,0,1,0,0,1,0,1,0,1,0
596,0,0,0,0,1,0,0,0,0,0
597,1,0,0,0,0,0,0,0,0,1
598,0,0,1,0,1,0,0,0,1,0
599,1,1,1,0,0,1,0,0,0,0
600,0,3,0,0,1,0,1,0,0,0
601,1,1,1,0,1,0,0,0,0,0
602,1,0,0,0,1,0,1,0,0,0
603,0,0,0,0,0,1,0,0,0,1
604,0,0,0,0,1,0,0,0,0,0
605,1,0,0,0,0,0,0,0,0,0
606,0,0,1,0,1,1,0,0,1,0
607,1,0,1,0,0,1,0,0,0,0
608,1,0,0,0,1,0,1,0,1,0
609,1,0,0,0,1,0,0,0,0,0
610,0,0,0,0,1,0,0,0,0,0
611,0,0,0,0,1,0,0,0,0,0
612,1,0,0,0,1,0,0,1,0,0
613,1,1,0,0,1,0,1,0,0,0
614,0,1,0,0,1,0,0,0,1,0
615,1,0,0,0,1,1,0,0,0,0
616,0,1,0,0,1,0,0,0,0,0
617,1,1,0,0,1,0,1,0,0,0
618,0,0,0,0,1,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0,0
620,1,0,0,0,1,0,1,0,0,0
621,1,0,0,0,1,0,1,0,0,0
622,0,0,1,0,1,0,0,0,1,0
623,0,0,0,0,1,0,0,0,0,0
